HELUT encrypted-netlist bench · SING
  netlist: Generated/Netlists/Examples/toy_isa_netlist.json  module=toy_isa
  poly N=1024  LUTs=11  DFFs=4  sequential  2N=2048
  stimuli=4 (max --vectors 4)  cpu-only=false  metal-netlist-only=false
  paths filter: blind-rotate-metal public-ms boolean
  paths: public-ms@boolean + public-ms@crypto + secret@crypto (+ Metal)
  DynamicRotateCost mux=2099200 binary=11275 speedup≈186.2×

  starting blind-rotate-metal public-ms boolean
BR tile=14/16 bits=832..<896
BR tile=15/16 bits=896..<960
BR tile=16/16 bits=960..<1024
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=1/16 bits=0..<64
BR tile=2/16 bits=64..<128
BR tile=3/16 bits=128..<192
BR tile=4/16 bits=192..<256
BR tile=5/16 bits=256..<320
BR tile=6/16 bits=320..<384
BR tile=7/16 bits=384..<448
BR tile=8/16 bits=448..<512
BR tile=9/16 bits=512..<576
BR tile=10/16 bits=576..<640
BR tile=11/16 bits=640..<704
BR tile=12/16 bits=704..<768
BR tile=13/16 bits=768..<832
BR tile=14/16 bits=832..<896
BR tile=15/16 bits=896..<960
BR tile=16/16 bits=960..<1024
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=1/16 bits=0..<64
BR tile=2/16 bits=64..<128
BR tile=3/16 bits=128..<192
BR tile=4/16 bits=192..<256
BR tile=5/16 bits=256..<320
BR tile=6/16 bits=320..<384
BR tile=7/16 bits=384..<448
BR tile=8/16 bits=448..<512
BR tile=9/16 bits=512..<576
BR tile=10/16 bits=576..<640
BR tile=11/16 bits=640..<704
BR tile=12/16 bits=704..<768
BR tile=13/16 bits=768..<832
BR tile=14/16 bits=832..<896
BR tile=15/16 bits=896..<960
BR tile=16/16 bits=960..<1024
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=10/16 bits=576..<640
BR tile=10/16 bits=576..<640
BR tile=11/16 bits=640..<704
BR tile=11/16 bits=640..<704
BR tile=12/16 bits=704..<768
BR tile=12/16 bits=704..<768
BR tile=13/16 bits=768..<832
BR tile=13/16 bits=768..<832
BR tile=14/16 bits=832..<896
BR tile=14/16 bits=832..<896
BR tile=15/16 bits=896..<960
BR tile=15/16 bits=896..<960
BR tile=16/16 bits=960..<1024
BR tile=16/16 bits=960..<1024
BR tile=1/16 bits=0..<64
BR tile=2/16 bits=64..<128
BR tile=3/16 bits=128..<192
BR tile=4/16 bits=192..<256
BR tile=5/16 bits=256..<320
BR tile=6/16 bits=320..<384
BR tile=7/16 bits=384..<448
BR tile=8/16 bits=448..<512
BR tile=9/16 bits=512..<576
BR tile=10/16 bits=576..<640
